"ASIN","Result","Brand"
"B09J5KJ848","OK",""
"B09J7C78DB","OK",""
"B09J8BMQS1","OK",""
"B09J8DG6XX","APPROVAL",""
"B09J8DH27F","OK",""
"B09J8JM2Q4","APPROVAL",""
"B09J8LDBZP","APPROVAL",""
"B09J8LJWC7","APPROVAL",""
"B09J8LWKBL","OK",""
"B09J8LZ1PR","APPROVAL",""
"B09J8NHYN6","APPROVAL",""
"B09JB882MN","APPROVAL",""
"B09JBWQH3D","APPROVAL",""
"B09JBXB1JX","APPROVAL",""
"B09JC776W4","APPROVAL",""
"B09JC77CJ2","APPROVAL",""
"B09JC79DKY","APPROVAL",""
"B09JC7J78G","APPROVAL",""
"B09JC82G1L","APPROVAL",""
"B09JC8CD83","APPROVAL",""
"B09JC8GXGH","APPROVAL",""
"B09JC8MC9Y","APPROVAL",""
"B09JC8QMM8","APPROVAL",""
"B09JC8QN7T","APPROVAL",""
"B09JCG22H2","APPROVAL",""
"B09JCJTLZJ","APPROVAL",""
"B09JCXD4KX","OK",""
"B09JFD6GF7","APPROVAL",""
"B09JFWKVCP","APPROVAL",""
"B09JFYQ4BM","APPROVAL",""
"B09JFZ538W","OK",""
"B09JG6FJNK","APPROVAL",""
"B09JG6Q6Y4","APPROVAL",""
"B09JG6RQ2H","APPROVAL",""
"B09JG7GCTD","APPROVAL",""
"B09JGNWRMD","OK",""
"B09JHXS8DT","APPROVAL",""
"B09JJK7Y1M","APPROVAL",""
"B09JJQJYXD","APPROVAL",""
"B09JJS97RQ","APPROVAL",""
"B09JJVD4XS","APPROVAL",""
"B09JK1V45Y","APPROVAL",""
"B09JLD1DTJ","APPROVAL",""
"B09JLNKHR5","APPROVAL",""
"B09JLPHRHG","APPROVAL",""
"B09JM29Z2D","APPROVAL",""
"B09JM37D5K","APPROVAL",""
"B09JM3YXQT","APPROVAL",""
"B09JM881PZ","APPROVAL",""
"B09JNFTVW2","OK",""
"B09JNL94WG","APPROVAL",""
"B09JNNVWCG","OK",""
"B09JNQPS5T","APPROVAL",""
"B09JNQSD43","OK",""
"B09JP28DF1","OK",""
"B09JRWJ8H9","APPROVAL",""
"B09JS5HJWD","APPROVAL",""
"B09JS93HR4","APPROVAL",""
"B09JSCGSL6","APPROVAL",""
"B09JSDTMWM","OK",""
"B09JSJ2917","APPROVAL",""
"B09JSJK2C8","APPROVAL",""
"B09JSJXL5K","APPROVAL",""
"B09JSK87JK","APPROVAL",""
"B09JSQ26RV","APPROVAL",""
"B09JSYP8VR","APPROVAL",""
"B09JTYCD48","OK",""
"B09JVMJY77","APPROVAL",""
"B09JVP15BM","APPROVAL",""
"B09JW73PSB","OK",""
"B09JW8FTK7","OK",""
"B09JWJZ96Q","OK",""
"B09JWKBQK4","OK",""
"B09JWWSG29","APPROVAL",""
"B09JYGGK1Z","APPROVAL",""
"B09JYHX1V5","APPROVAL",""
"B09JYJT1H5","APPROVAL",""
"B09JYP81SR","APPROVAL",""
"B09JYYJDPS","APPROVAL",""
"B09JYZVCKZ","APPROVAL",""
"B09JZ1N46N","APPROVAL",""
"B09JZ1VFW4","APPROVAL",""
"B09JZ2TF3R","APPROVAL",""
"B09JZ6FY8Q","OK",""
"B09JZCLZK2","APPROVAL",""
"B09K1RFXQP","OK",""
"B09K1Z1N9R","OK",""
"B09K2TPMTB","APPROVAL",""
"B09K33PYLM","APPROVAL",""
"B09K366Q5F","OK",""
"B09K3P2DF1","APPROVAL",""
"B09K3RHS1R","APPROVAL",""
"B09K3VQBFM","APPROVAL",""
"B09K3VTRWT","APPROVAL",""
"B09K3W6MRF","APPROVAL",""
"B09K3WPQN5","APPROVAL",""
"B09K3XV8X7","APPROVAL",""
"B09K3YFVTP","APPROVAL",""
"B09K3YRM8P","APPROVAL",""
"B09K41MT5L","APPROVAL",""
"B09K4MG3Z5","APPROVAL",""
"B09K4ZLYVM","APPROVAL",""
"B09K568YTC","APPROVAL",""
"B09K6WKZHF","OK",""
"B09K73N79B","OK",""
"B09K74SRXM","APPROVAL",""
"B09K74VPQL","APPROVAL",""
"B09K7D61WR","OK",""
"B09K7DLXVS","APPROVAL",""
"B09K7DZJSH","APPROVAL",""
"B09K7F7BZR","OK",""
"B09K7FV6SB","APPROVAL",""
"B09K7FZV4G","APPROVAL",""
"B09K7G1H4P","APPROVAL",""
"B09K7GGCZG","OK",""
"B09K7GJKQF","APPROVAL",""
"B09K7GLRJ5","APPROVAL",""
"B09K7H5VWR","APPROVAL",""
"B09K7HGGFS","APPROVAL",""
"B09K7TQ7JR","OK",""
"B09K84M9X6","OK",""
"B09K99ZBQ9","APPROVAL",""
"B09KBBL6KM","APPROVAL",""
"B09KBQLVD7","APPROVAL",""
"B09KBSR95P","OK",""
"B09KBSYTG9","APPROVAL",""
"B09KBT26HR","OK",""
"B09KBVD34L","OK",""
"B09KBVJS66","OK",""
"B09KBVK84D","OK",""
"B09KBY7S1M","APPROVAL",""
"B09KBYHK81","OK",""
"B09KBYVKK7","OK",""
"B09KBZKWMB","OK",""
"B09KC25C8K","OK",""
"B09KC4T2K2","APPROVAL",""
"B09KC5T14V","APPROVAL",""
"B09KC6G9VZ","APPROVAL",""
"B09KCBD9PN","OK",""
"B09KCHLWH4","APPROVAL",""
"B09KG2FMTN","OK",""
"B09KGBPX73","OK",""
"B09KGN82LV","OK",""
"B09KGPYW65","APPROVAL",""
"B09KGQSS92","OK",""
"B09KGR4SFY","APPROVAL",""
"B09KJZJ1SV","APPROVAL",""
"B09KKG28YR","APPROVAL",""
"B09KKMGXKH","APPROVAL",""
"B09KKMJ3N2","OK",""
"B09KKPMCL4","APPROVAL",""
"B09KKQ5W11","APPROVAL",""
"B09KKY7CH4","OK",""
"B09KL5PT4T","APPROVAL",""
"B09KLJLBS1","OK",""
"B09KLLFSML","APPROVAL",""
"B09KLLVMYL","APPROVAL",""
"B09KLNFDJK","APPROVAL",""
"B09KN22PV6","NG",""
"B09KN3K9TV","APPROVAL",""
"B09KN3Z226","APPROVAL",""
"B09KN8G94X","OK",""
"B09KNDJ5SN","OK",""
"B09KNZBKJ1","APPROVAL",""
"B09KRDXKT1","OK",""
"B09KRKMKFT","APPROVAL",""
"B09KRQ2P44","APPROVAL",""
"B09KRSKYSZ","APPROVAL",""
"B09KRT6Q6Y","OK",""
"B09KTFK79G","OK",""
"B09KTR9ZGK","OK",""
"B09KTZMYR4","APPROVAL",""
"B09KVBCD9Z","APPROVAL",""
"B09KVGJZ6W","APPROVAL",""
"B09KVHB3FW","OK",""
"B09KWH6QYF","OK",""
"B09KXTKRC2","APPROVAL",""
"B09KY34SDF","APPROVAL",""
"B09KZ92VWZ","APPROVAL",""
"B09KZDNRK5","APPROVAL",""
"B09KZF8D91","APPROVAL",""
"B09KZPGM77","APPROVAL",""
"B09KZPHC2Q","APPROVAL",""
"B09KZX33M3","APPROVAL",""
"B09KZX68D3","NG",""
"B09KZZ6NGR","APPROVAL",""
"B09L11J4X9","OK",""
"B09L12VRT5","APPROVAL",""
"B09L16SZXQ","APPROVAL",""
"B09L19Z6XT","APPROVAL",""
"B09L1NP548","APPROVAL",""
"B09L3361ZV","OK",""
"B09L3SHVYM","OK",""
"B09L3VXGYX","OK",""
"B09L3X815T","OK",""
"B09L47WCP2","OK",""
"B09L4KJ5ZF","OK",""
"B09L4NM8D7","APPROVAL",""
"B09L4PYCWX","APPROVAL",""
"B09L58TSVK","APPROVAL",""
"B09L59MLVF","APPROVAL",""
"B09L59PVKY","APPROVAL",""
"B09L6ND4MW","APPROVAL",""
"B09L6W5FKV","APPROVAL",""
"B09L6W6NFJ","APPROVAL",""
"B09L71P7VD","OK",""
"B09L71QQ9N","APPROVAL",""
"B09L7FC9S1","APPROVAL",""
"B09L7XVKC5","OK",""
"B09L7YGCCW","APPROVAL",""
"B09L7YGVDY","APPROVAL",""
"B09L83DRYR","APPROVAL",""
"B09L842BVT","APPROVAL",""
"B09L8HDPN7","APPROVAL",""
"B09LC2GM93","OK",""
"B09LC7F4H4","OK",""
"B09LC9CPVW","APPROVAL",""
"B09LCDBRK1","APPROVAL",""
"B09LCLSR4B","APPROVAL",""
"B09LCMX5ZH","APPROVAL",""
"B09LCPC61N","APPROVAL",""
"B09LCSXSRT","OK",""
"B09LCVJ5XM","OK",""
"B09LD2N78M","OK",""
"B09LDGCML8","APPROVAL",""
"B09LH3QBF4","APPROVAL",""
"B09LH3X952","APPROVAL",""
"B09LHG3QJB","OK",""
"B09LLH9BXJ","APPROVAL",""
"B09LLVBNC5","APPROVAL",""
"B09LLZNLX7","APPROVAL",""
"B09LM2JBCP","APPROVAL",""
"B09LM3FBHB","APPROVAL",""
"B09LM67GBH","APPROVAL",""
"B09LM6DCJ2","APPROVAL",""
"B09LM82T8S","APPROVAL",""
"B09LMB9W2G","APPROVAL",""
"B09LMBX3VN","APPROVAL",""
"B09LNXD2G5","OK",""
"B09LNYPG7Y","OK",""
"B09LNZLDJB","OK",""
"B09LP1CK81","OK",""
"B09LP3VB6F","OK",""
"B09LPWQWR5","APPROVAL",""
"B09LPY55RQ","APPROVAL",""
"B09LQ6MNNP","APPROVAL",""
"B09LQQ7VYR","APPROVAL",""
"B09LQWX5L8","APPROVAL",""
"B09LQWZGQT","APPROVAL",""
"B09LQX36QG","APPROVAL",""
"B09LQX454W","APPROVAL",""
"B09LQX6C1F","APPROVAL",""
"B09LQXGG1J","APPROVAL",""
"B09LQY6S62","APPROVAL",""
"B09LQYDJW7","APPROVAL",""
"B09LQYMTB7","APPROVAL",""
"B09LQYPVDT","APPROVAL",""
"B09LQYXKGX","APPROVAL",""
"B09LRJT5TK","OK",""
"B09LV166HR","APPROVAL",""
"B09LV2F7MH","APPROVAL",""
"B09LV2NP45","APPROVAL",""
"B09LV7DM62","APPROVAL",""
"B09LV7F71F","APPROVAL",""
"B09LV7VZ93","OK",""
"B09LVL3LYG","APPROVAL",""
"B09LX1FHBQ","APPROVAL",""
"B09LX7TVRR","APPROVAL",""
"B09LXKWB9F","OK",""
"B09LY7WSJS","APPROVAL",""
"B09LYBFF92","OK",""
"B09LYH12Y8","APPROVAL",""
"B09LYKP8BP","APPROVAL",""
"B09LZC2Y2M","APPROVAL",""
"B09M1DM4N3","OK",""
"B09M32ZDKT","OK",""
"B09M35YZKK","OK",""
"B09M3BX2W3","APPROVAL",""
"B09M3N1HTV","APPROVAL",""
"B09M3P4GL3","APPROVAL",""
"B09M3RZFVQ","APPROVAL",""
"B09M3TH72B","OK",""
"B09M41N232","APPROVAL",""
"B09M4CRXNL","APPROVAL",""
"B09M4F5J2J","APPROVAL",""
"B09M55536J","OK",""
"B09M6JF5Z1","APPROVAL",""
"B09M6M497M","APPROVAL",""
"B09M6R8RH8","APPROVAL",""
"B09M6TK2NP","APPROVAL",""
"B09M6YXRG4","APPROVAL",""
"B09M6ZMX5F","APPROVAL",""
"B09M7YLDY9","OK",""
"B09M851GBF","OK",""
"B09M8BSPQD","APPROVAL",""
"B09M8BZ3SJ","OK",""
"B09M8BZL37","APPROVAL",""
"B09M8D6RVQ","APPROVAL",""
"B09M8DNLY9","APPROVAL",""
"B09M8F2BH3","APPROVAL",""
"B09M8G3BF1","OK",""
"B09M976MC6","APPROVAL",""
"B09M9KXTPT","APPROVAL",""
"B09MCC6G96","OK",""
"B09MCGYTD2","OK",""
"B09MCMLTRT","OK",""
"B09MCP32X8","OK",""
"B09MCQZF7Y","APPROVAL",""
"B09MCRVL4S","APPROVAL",""
"B09MCS6PLR","OK",""
"B09MCS9DQF","APPROVAL",""
"B09MCSJYFV","APPROVAL",""
"B09MCTPBZL","APPROVAL",""
"B09MCTYJWD","APPROVAL",""
"B09MCVTBMW","APPROVAL",""
"B09MCX4B3S","APPROVAL",""
"B09MCY1C96","APPROVAL",""
"B09MDHM1VS","APPROVAL",""
"B09MF4L2K5","OK",""
"B09MFH1LJR","OK",""
"B09MG5YTJT","APPROVAL",""
"B09MH8JPH1","APPROVAL",""
"B09MHDQRJQ","APPROVAL",""
"B09MHN6CRY","APPROVAL",""
"B09MHZ533K","APPROVAL",""
"B09MJ4L9NG","OK",""
"B09MJ6N9ZM","OK",""
"B09MJ75VF4","OK",""
"B09MJ9N7TR","OK",""
"B09MJX4V38","OK",""
"B09MJXWKM9","APPROVAL",""
"B09MK36W7Z","APPROVAL",""
"B09MK3HQRM","APPROVAL",""
"B09MK4CN87","APPROVAL",""
"B09MK8J9JQ","APPROVAL",""
"B09MKBJC6Z","APPROVAL",""
"B09MKJV8YZ","OK",""
"B09MLKVYTS","APPROVAL",""
"B09MLN8Z5H","APPROVAL",""
"B09MLP6BP2","APPROVAL",""
