"ASIN","Result","Brand"
"B09XDK13WS","APPROVAL",""
"B09XGD46HC","APPROVAL",""
"B09XGPX5JM","OK",""
"B09XHKKFCM","APPROVAL",""
"B09XHKKWFH","APPROVAL",""
"B09XHN53YQ","APPROVAL",""
"B09XK1Z98P","OK",""
"B09XKLX35V","APPROVAL",""
"B09XKMLP67","APPROVAL",""
"B09XM1GRQS","OK",""
"B09XM1SKVK","OK",""
"B09XM2LF89","OK",""
"B09XM5P43Q","APPROVAL",""
"B09XM6RFGF","OK",""
"B09XMBWZF6","APPROVAL",""
"B09XMC24JR","APPROVAL",""
"B09XMDKXJN","OK",""
"B09XMFMDZV","APPROVAL",""
"B09XMGQF3C","APPROVAL",""
"B09XMHBCLP","APPROVAL",""
"B09XMHRJ86","APPROVAL",""
"B09XQ1RKNG","APPROVAL",""
"B09XQ2B7S6","APPROVAL",""
"B09XQ3FLQV","NG",""
"B09XQ6CBX6","APPROVAL",""
"B09XQJ7Y6K","APPROVAL",""
"B09XQL2VCD","APPROVAL",""
"B09XQNZL15","APPROVAL",""
"B09XQPKFCM","APPROVAL",""
"B09XR6SDWK","APPROVAL",""
"B09XRGN8YY","OK",""
"B09XT25QQV","OK",""
"B09XTD61VJ","APPROVAL",""
"B09XTFP5CC","APPROVAL",""
"B09XTJ7VP1","APPROVAL",""
"B09XTMQ9WV","APPROVAL",""
"B09XTP4X7R","APPROVAL",""
"B09XTPYMRT","APPROVAL",""
"B09XTXGQMN","APPROVAL",""
"B09XTXZZWP","APPROVAL",""
"B09XTYRHWS","APPROVAL",""
"B09XTYY4QW","APPROVAL",""
"B09XWYZXD2","OK",""
"B09XX46FVV","OK",""
"B09XX48XYW","OK",""
"B09XX569LF","OK",""
"B09XX974N5","OK",""
"B09XXH1MWF","OK",""
"B09XXHKXC1","APPROVAL",""
"B09XXJDP7D","APPROVAL",""
"B09XXKWPYW","OK",""
"B09XXLXVFS","APPROVAL",""
"B09XXQCJT4","OK",""
"B09XY1LDTT","APPROVAL",""
"B09XY6KX8P","APPROVAL",""
"B09XY7JBR7","APPROVAL",""
"B09XYNNFPT","APPROVAL",""
"B09XYSN5DY","APPROVAL",""
"B09XYTJ9ZH","APPROVAL",""
"B09XZ6VVY9","APPROVAL",""
"B09Y1L2N1M","OK",""
"B09Y1SVW5Y","OK",""
"B09Y1TTY71","OK",""
"B09Y32C4SR","APPROVAL",""
"B09Y364DH4","APPROVAL",""
"B09Y56931F","OK",""
"B09Y5J1T7V","APPROVAL",""
"B09Y5K3PRP","OK",""
"B09Y5KC7ZS","APPROVAL",""
"B09Y5KFN68","OK",""
"B09Y5KXBWY","APPROVAL",""
"B09Y5LWWVM","APPROVAL",""
"B09Y5PZWV6","OK",""
"B09Y5RF9NC","OK",""
"B09Y7YG7V6","OK",""
"B09Y7ZTZJL","OK",""
"B09Y8VHR91","APPROVAL",""
"B09Y8ZPYZK","APPROVAL",""
"B09Y8ZW6MC","APPROVAL",""
"B09Y926VWL","APPROVAL",""
"B09Y92G3DX","APPROVAL",""
"B09Y984TDM","APPROVAL",""
"B09YC4CP7M","OK",""
"B09YC8NTS3","APPROVAL",""
"B09YCBMSXL","APPROVAL",""
"B09YCJCKMB","OK",""
"B09YCM4MB2","OK",""
"B09YCR5K6F","APPROVAL",""
"B09YCT31BG","APPROVAL",""
"B09YD3L1ZD","OK",""
"B09YD56K12","APPROVAL",""
"B09YD5RZF2","APPROVAL",""
"B09YD78PVR","OK",""
"B09YDFYXP5","OK",""
"B09YFKT93D","APPROVAL",""
"B09YG8F41Y","APPROVAL",""
"B09YGC3W49","OK",""
"B09YGH89FG","APPROVAL",""
"B09YGKCR5R","OK",""
"B09YGSHW5P","OK",""
"B09YGZNRHZ","OK",""
"B09YHB3WD8","OK",""
"B09YHCF3KT","OK",""
"B09YHCN7G3","APPROVAL",""
"B09YHCTRVT","APPROVAL",""
"B09YHD3KXH","APPROVAL",""
"B09YHF77W4","APPROVAL",""
"B09YHH364K","APPROVAL",""
"B09YHL1S8Q","APPROVAL",""
"B09YL7LWVB","APPROVAL",""
"B09YLM67M9","OK",""
"B09YLWV23Q","OK",""
"B09YM3P21F","APPROVAL",""
"B09YMGZC96","OK",""
"B09YMHJ59W","APPROVAL",""
"B09YMHYTVS","OK",""
"B09YMJSNTC","OK",""
"B09YMJY28V","APPROVAL",""
"B09YMLN49V","APPROVAL",""
"B09YN25GNY","APPROVAL",""
"B09YNXLMTY","OK",""
"B09YR2JNPF","APPROVAL",""
"B09YR3MGSN","APPROVAL",""
"B09YR3ND71","OK",""
"B09YR42G3F","APPROVAL",""
"B09YRFXZ18","APPROVAL",""
"B09YRG5VH1","APPROVAL",""
"B09YRGD3GW","APPROVAL",""
"B09YRGHZ4V","APPROVAL",""
"B09YRGNB3Z","APPROVAL",""
"B09YRGNHQH","APPROVAL",""
"B09YRGW865","APPROVAL",""
"B09YRGWVZG","APPROVAL",""
"B09YRGZMCH","APPROVAL",""
"B09YRHC1VJ","APPROVAL",""
"B09YRHXD66","APPROVAL",""
"B09YRVTMKP","APPROVAL",""
"B09YRWZ839","APPROVAL",""
"B09YSQWVVP","APPROVAL",""
"B09YT3TBP6","APPROVAL",""
"B09YT4QHZT","APPROVAL",""
"B09YT84WJ5","APPROVAL",""
"B09YT98NQY","APPROVAL",""
"B09YTCXPLM","APPROVAL",""
