"ASIN","Brand","Result"
"B0DKR8753D","クリアターン","△"
"B0DKTF12SL","Nagao","△"
"B0DKW7D5PJ","Atlas","◯"
"B0DKWDWGC3","Atlas","◯"
"B0DKWLBLFC","Atlas","◯"
"B0DKWNQXST","Atlas","◯"
"B0DKXPGGKW","TAKEY","◯"
"B0DLBW339P","SEGA","△"
"B0DLK8J61V","BANDAI","△"
"B0DLKHZG2R","imaa","◯"
"B0DLWY9GY7","宏 HIROSHI","◯"
"B0DM1VGXT8","SHIMANO","△"
"B0DM1VGY4Y","ottostyle","◯"
"B0DM2259RB","Ladfrol","◯"
"B0DM22RTGR","Ladfrol","◯"
"B0DMBSQB5J","Zach Top","◯"
"B0DMF6R5YY","Inateck","△"
"B0DMQZTK73","dinos(ディノス)","△"
"B0DMSSBBMQ","RANX INGST","◯"
"B0DMSSGGB1","RANX INGST","◯"
"B0DMSSWDWX","RANX INGST","◯"
"B0DN268YXB","Zach Top","◯"
"B0DN5S5X96","Guyyelt","◯"
"B0DN5V1BBX","Guyyelt","◯"
"B0DN5X6HX2","Guyyelt","◯"
"B0DN5Y8YW3","Guyyelt","◯"
"B0DN5YBPX1","CAROTE","△"
"B0DN5YCNFJ","Guyyelt","◯"
"B0DN6GXJMY","Nicheez","◯"
"B0DN6HQSMY","Nicheez","◯"
"B0DN6HSBD4","Nicheez","◯"
"B0DNCX59T8","TAMASHII NATIONS","△"
"B0DNJ413GG","Kalita","△"
"B0DNJHCS7M","Yosugi","◯"
"B0DNJLCRMF","Yosugi","◯"
"B0DNM9WB9Y","Awada","◯"
"B0DNMLQRN9","THERMOS","△"
"B0DNMR927B","THERMOS","△"
"B0DNV4FC7Y","Magic: The Gathering","△"
"B0DNVR6RN4","FENGFENG","◯"
"B0DNYQ8GWV","HEAD","△"
"B0DP61GX5Z","GDUOD","◯"
"B0DP6Y7GYN","NIGOE","◯"
"B0DP6ZNBQK","NIGOE","◯"
"B0DP963RKS","Baifuduo","◯"
"B0DP9CDLHF","KazeSo","◯"
"B0DPHLTY6C","ワイズ","◯"
"B0DPHMWY5H","ワイズ","◯"
"B0DPK5WLMT","Maxytech","◯"
"B0DPKK8L8B","Lemnos（レムノス）","◯"
"B0DPKKPR8R","Lemnos（レムノス）","◯"
"B0DPLXKK91","WAHEI FREIZ","△"
"B0DPM9D94K","qiyue","◯"
"B0DPMF4JFW","qiyue","◯"
"B0DPMF9Y55","qiyue","◯"
"B0DPPMR98J","WAHEI FREIZ","△"
"B0DPPXG88B","SHUIII","◯"
"B0DPPYQC41","SHUIII","◯"
"B0DPWW578D","SVOHZAV","◯"
"B0DPYLV1J1","Re-Ment","△"
"B0DPZBPNMQ","RIDEA","◯"
"B0DQ2CS86W","InnerSleeve","◯"
"B0DQ4WZJHZ","pearl metal","△"
"B0DQ54GZNG","ENSEMBLY","◯"
"B0DQFVRXY8","Bxzzuis","◯"
"B0DQFYKSKX","Bxzzuis","◯"
"B0DQFZ8N41","Bxzzuis","◯"
"B0DQFZZMSJ","Bxzzuis","◯"
"B0DQG26245","Bxzzuis","◯"
"B0DQKT96J1","Aniplex","△"
"B0DQLQMWVY","Zach Top","◯"
"B0DQW8L61M","pearl metal","△"
"B0DQWL3986","","◯"
"B0DR1WH1M7","NEEWER","△"
"B0DR7TLNWB","Inateck","△"
"B0DR8BDP73","SONY MUSIC","△"
"B0DRNGQ3TW","Arnest","△"
"B0DRNHSP1K","Arnest","△"
"B0DRNHTY98","Arnest","△"
"B0DRNJ588C","Arnest","△"
"B0DRNKSVDX","Arnest","△"
"B0DRNM27HJ","Arnest","△"
"B0DRNVN1QP","Apaeofl","◯"
"B0DRS6SDN1","Poyway","◯"
"B0DRVH667B","CAROTE","△"
"B0DRVRH59S","Arfobug","◯"
"B0DRVSGTFY","Arfobug","◯"
"B0DSCMH3R7","Zach Top","◯"
"B0DSCWDHK4","Tecnifibre","△"
