🖥 VSCode よく使うショートカット一覧（Windows版）

機能                     ショートカットキー      説明

🔍 コマンドパレット     Ctrl + Shift + P	何でも検索・操作できる万能メニュー
💾 保存                	 Ctrl + S	現在のファイルを保存
📂 開く（ファイル）    	 Ctrl + O	ファイルを開く
📁 新しいファイル作成	 Ctrl + N	新しい空のファイル作成
📑 タブ切り替え	         Ctrl + Tab / Ctrl + Shift + Tab	開いているファイル間を切り替え
🆕 ターミナルを開く	     Ctrl + Shift + ö（または @）	統合ターミナルを開く（キーボード設定による）
🔎 検索（ファイル内）	 Ctrl + F	現在のファイル内を検索
🔄 置換	                 Ctrl + H	ファイル内の文字列を置換
📁プロジェクト全体検索  Ctrl + Shift + F	全ファイル対象に検索
⌨ フォーマット（整形）  Shift + Alt + F	自動でインデントや改行を整える！
↔ インデントを右へ	 Tab	複数行選択中に右にずらす
↔ インデントを左へ	 Shift + Tab	複数行選択中に左にずらす
🔙 コメントアウト	     Ctrl + /	選択した行をコメントにする（もう一度で戻る）
⬆ 行を上下に移動	 Alt + ↑ / ↓	今の行を上下に移動できる
📄 複製（行）	         Shift + Alt + ↓	今の行をそのままコピーして下に挿入
🗑 行を削除	             Ctrl + Shift + K	今の行をまるごと削除


