"ASIN","Result","Brand"
"B0CTG68MVQ","OK",""
"B0CTG6R8B6","OK",""
"B0CTG6SFYK","OK",""
"B0CTG6SSFH","OK",""
"B0CTG7DW49","OK",""
"B0CTGXL8X6","APPROVAL",""
"B0CTGXZFNZ","APPROVAL",""
"B0CTJBDZDZ","OK",""
"B0CTJBHG4Q","OK",""
"B0CTJFLT6B","OK",""
"B0CTJGJQ12","OK",""
"B0CTK5LVXR","APPROVAL",""
"B0CTK5NFDS","APPROVAL",""
"B0CTK76Z3L","APPROVAL",""
"B0CTK8BS6N","APPROVAL",""
"B0CTKL7ZVV","APPROVAL",""
"B0CTKSM4J7","OK",""
"B0CTKZWY56","OK",""
"B0CTLJLGLR","OK",""
"B0CTLL2RH3","OK",""
"B0CTLPTHBM","OK",""
"B0CTLTC5N3","APPROVAL",""
"B0CTLWS5PB","OK",""
"B0CTLYMM77","OK",""
"B0CTLYN93H","OK",""
"B0CTMG7CBD","NG",""
"B0CTMGH27F","APPROVAL",""
"B0CTMGMJ74","APPROVAL",""
"B0CTMJ7W6C","APPROVAL",""
"B0CTMM74BH","NG",""
"B0CTMPNDVP","APPROVAL",""
"B0CTQ1KZDF","OK",""
"B0CTQB5FH6","OK",""
"B0CTQLC3S6","OK",""
"B0CTR43T6V","OK",""
"B0CTR47XFJ","APPROVAL",""
"B0CTR4ZJ7C","APPROVAL",""
"B0CTR5FS3X","APPROVAL",""
"B0CTSHJHJG","OK",""
"B0CTT58M6Z","OK",""
"B0CTT6ZZDG","NG",""
"B0CTTBTPFR","NG",""
"B0CTTFXY47","NG",""
"B0CTVG9HPG","APPROVAL",""
"B0CTVMD5RH","APPROVAL",""
"B0CTZNRBBX","NG",""
"B0CTZNYT5V","APPROVAL",""
"B0CTZS11WH","OK",""
"B0CV34J7XG","OK",""
"B0CV3DK9MC","NG",""
"B0CV3L2FLW","OK",""
"B0CV3MJ7T3","NG",""
"B0CV3NYR3T","NG",""
"B0CV3PZ2K3","OK",""
"B0CV44FTPN","APPROVAL",""
"B0CV44VQKL","APPROVAL",""
"B0CV459MSY","APPROVAL",""
"B0CV459TBS","APPROVAL",""
"B0CV45M7FT","APPROVAL",""
"B0CV4S2W32","NG",""
"B0CV5T7RYC","NG",""
"B0CV7HSRD4","APPROVAL",""
"B0CV7J87M1","OK",""
"B0CV7LP2M3","OK",""
"B0CV9LRQW9","APPROVAL",""
"B0CV9QH4XX","OK",""
"B0CV9T1Z5D","APPROVAL",""
"B0CV9WZ6D7","NG",""
"B0CVDQGZVT","NG",""
"B0CVDR9PCR","NG",""
"B0CVDSGTQ1","NG",""
"B0CVDY4CTC","NG",""
"B0CVH39B2C","NG",""
"B0CVKSD3RM","NG",""
"B0CVL6K396","NG",""
"B0CVLB1VSF","OK",""
"B0CVMYFHX5","APPROVAL",""
"B0CVMYG5KS","OK",""
"B0CVN42SZK","OK",""
"B0CVN58YWC","OK",""
"B0CVN7NNQN","OK",""
"B0CVN8PFKR","OK",""
"B0CVNHK1MG","APPROVAL",""
"B0CVQDLQ8M","OK",""
"B0CVR4LRX9","APPROVAL",""
"B0CVRTTVR6","APPROVAL",""
"B0CVS5W7SM","APPROVAL",""
"B0CVS7GDFB","APPROVAL",""
"B0CVSB3VPV","OK",""
"B0CVWTXRC5","NG",""
"B0CVX44M3T","NG",""
"B0CW185K13","NG",""
"B0CW19BZ6F","OK",""
"B0CW1JKVMW","NG",""
"B0CW1SPC69","APPROVAL",""
"B0CW2CWG88","APPROVAL",""
"B0CW2MXG5D","OK",""
"B0CW2N2PRK","OK",""
"B0CW2PB6JK","OK",""
"B0CW2PK1XQ","OK",""
"B0CW31LS3C","OK",""
"B0CW4VQ8N1","OK",""
"B0CW4XPXNF","OK",""
"B0CW4YW2S8","OK",""
"B0CW4ZZLG8","OK",""
"B0CW53FR5N","OK",""
"B0CW54GJ3G","OK",""
"B0CW5548LH","OK",""
"B0CW55X746","NG",""
"B0CW56YGP5","OK",""
"B0CW57LPCS","APPROVAL",""
"B0CW58XX9T","OK",""
"B0CW5BV6NH","OK",""
"B0CW5CFJVS","OK",""
"B0CW5CVBJ5","OK",""
"B0CW5DF5F2","OK",""
"B0CW5NYTTK","OK",""
"B0CW5YW1N5","OK",""
"B0CW65S667","OK",""
"B0CW89RP6C","OK",""
"B0CW8VDLCY","OK",""
"B0CWBPZ884","OK",""
"B0CWGXZVR5","NG",""
"B0CWGY3TZF","OK",""
"B0CWH1QW3K","NG",""
"B0CWH2ZLVL","NG",""
"B0CWH33J1B","NG",""
"B0CWH3FX32","NG",""
"B0CWKGWHKM","APPROVAL",""
"B0CWKH9G8B","NG",""
"B0CWL5PQPZ","NG",""
"B0CWL8F6QM","NG",""
"B0CWLBMMWY","NG",""
"B0CWMHS7ZC","APPROVAL",""
"B0CWNGRP3J","APPROVAL",""
"B0CWPN5KBB","OK",""
"B0CWQ7V6TH","NG",""
"B0CWQX7T3J","OK",""
"B0CWQYTWPD","OK",""
"B0CWRK2HVS","NG",""
"B0CWRM6VF9","NG",""
"B0CWRMMXT2","NG",""
"B0CWRP1F5F","NG",""
"B0CWRP2BP3","NG",""
"B0CWSMSTYC","OK",""
"B0CWSMX94V","OK",""
"B0CWSPGFZD","OK",""
"B0CWSPS8GZ","OK",""
"B0CWSQ3JGG","OK",""
"B0CWSQ9VFN","OK",""
"B0CWSQBBFW","OK",""
"B0CWTK3SYX","OK",""
"B0CWTP4DS6","OK",""
"B0CWTR2RQ4","NG",""
"B0CWTV22LC","NG",""
"B0CWTXB135","OK",""
"B0CWTYFYBT","NG",""
"B0CWV1RJ31","NG",""
"B0CWV39BZF","NG",""
"B0CWXXVQTM","OK",""
"B0CX1K6NSY","APPROVAL",""
"B0CX1L8JND","OK",""
"B0CX3Z3LPL","APPROVAL",""
"B0CX49CYDM","OK",""
"B0CX4CNXVZ","OK",""
"B0CX4DDXN7","OK",""
"B0CX4MRVSB","NG",""
"B0CX4YR28N","OK",""
"B0CX7YNMJ6","OK",""
"B0CX8FSTV4","OK",""
"B0CXCJFGWQ","NG",""
"B0CXD5Y18N","NG",""
"B0CXDS5FY4","NG",""
"B0CXDSHJVY","NG",""
"B0CXF6FBDV","NG",""
"B0CXGR6KGL","OK",""
"B0CXH2841G","OK",""
"B0CXH5DWSM","NG",""
"B0CXH768VC","NG",""
"B0CXHPW8YS","NG",""
"B0CXHTVQ1W","APPROVAL",""
"B0CXJ1CXKN","OK",""
"B0CXJHFM1M","OK",""
"B0CXNHX1Z9","NG",""
"B0CXPFXVQ7","NG",""
"B0CXPMWQR6","NG",""
"B0CXSPXMSB","OK",""
"B0CXSX7VQF","OK",""
"B0CXSXM7RY","OK",""
"B0CXT16ST9","OK",""
"B0CXT26HPN","OK",""
"B0CXT3D6ZM","OK",""
"B0CXTB4VH4","NG",""
"B0CXTB84RB","NG",""
"B0CXTL7SX1","OK",""
"B0CXWMLVLS","OK",""
"B0CXX7XNJK","OK",""
"B0CXX89ZDX","OK",""
"B0CXX9TPLF","OK",""
"B0CY28VLV6","NG",""
"B0CY2HHTGZ","NG",""
"B0CY2KLDYT","NG",""
"B0CY3Z7NDT","OK",""
"B0CY68N7HY","OK",""
"B0CY7816RP","APPROVAL",""
"B0CYBGP559","OK",""
"B0CYC3VPDP","NG",""
"B0CYC59YG9","NG",""
"B0CYC6111Z","OK",""
"B0CYCBPJ7Y","OK",""
"B0CYDKY1FG","NG",""
"B0CYDN8LZZ","OK",""
"B0CYGHYRFM","NG",""
"B0CYH1P92S","OK",""
"B0CYH21D21","OK",""
"B0CYH4XPRW","NG",""
"B0CYH5GM9T","NG",""
"B0CYH6LRBY","OK",""
"B0CYH7YRR9","NG",""
"B0CYHHKPWK","OK",""
"B0CYLMYWD3","NG",""
"B0CYLY2YBF","OK",""
"B0CYNRR6VW","APPROVAL",""
"B0CYPCXBF4","OK",""
"B0CYPL81T5","OK",""
"B0CYV7D1BM","OK",""
"B0CYY88DYJ","NG",""
"B0CYZQG2K7","NG",""
"B0CZ3VS6GL","NG",""
"B0CZ7QSXSP","NG",""
"B0CZ8HRVLX","NG",""
"B0CZ8K2VVF","APPROVAL",""
"B0CZC32Q35","OK",""
"B0CZCL2Z61","OK",""
"B0CZKDZS5K","NG",""
"B0CZKHK8CC","NG",""
"B0CZKW23MZ","NG",""
"B0CZL3DJLL","OK",""
"B0CZQC1324","OK",""
"B0CZQCVR5R","OK",""
"B0CZQHP434","OK",""
"B0CZQJ8QTB","OK",""
"B0CZQJVM7M","OK",""
"B0CZQMTHP4","OK",""
"B0CZR9C2N9","OK",""
"B0CZSS636K","NG",""
"B0CZSYBR6K","NG",""
"B0CZTGK2M6","APPROVAL",""
"B0CZX59D4C","OK",""
"B0CZX9CXVX","OK",""
"B0CZX9XGG4","OK",""
"B0CZXC2PNX","OK",""
"B0CZXRJ6VW","OK",""
"B0D11DXM39","OK",""
"B0D11J51W3","OK",""
"B0D11MKC9S","OK",""
"B0D11MR7XZ","OK",""
"B0D11NQ1FC","OK",""
"B0D11PLTH8","OK",""
"B0D13XJ5XN","OK",""
"B0D1453HDX","OK",""
"B0D1464W4G","OK",""
"B0D149VJ8X","NG",""
"B0D1B76RN7","NG",""
"B0D1BXRXCL","OK",""
"B0D1C4DKH8","APPROVAL",""
"B0D1CF75FF","NG",""
"B0D1CT4RYM","NG",""
"B0D1FRNJ7W","OK",""
"B0D1FWPL2T","OK",""
"B0D1GDFB98","OK",""
"B0D1JQX93M","NG",""
"B0D1QXG2J8","NG",""
"B0D1XNBW5L","OK",""
"B0D21S8D1P","NG",""
"B0D25D9XD8","NG",""
"B0D25FRW78","OK",""
"B0D25PH73N","OK",""
"B0D2627H8F","APPROVAL",""
"B0D28FLZPL","APPROVAL",""
